algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1850;5.328022E-06;5.334480162563986E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1900;5.470254E-06;5.478655302092742E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;1950;5.607283999999999E-06;5.622830441621499E-06;0
Произведение элементов;O(n);seconds;5.240017656673642E-16;2.8835027905751276E-09;2000;5.731048E-06;5.767005581150255E-06;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;50;1.404E-05;3.5316113343450863E-06;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;100;1.404E-05;1.4126445337380345E-05;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;150;3.11E-05;3.178450200910577E-05;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;200;5.4800000000000004E-05;5.650578134952138E-05;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;250;8.555E-05;8.829028335862715E-05;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;300;0.00012336666666666664;0.0001271380080364231;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;350;0.000168625;0.00017304895538290923;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;400;0.00022;0.00022602312539808553;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;450;0.0002786;0.000286060518081952;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;500;0.00035328;0.0003531611334345086;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;550;0.00043295;0.00042732497145575544;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;600;0.00050562;0.0005085520321456924;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;650;0.000601225;0.0005968423155043196;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;700;0.00069248;0.0006921958215316369;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;750;0.000787725;0.0007946125502276444;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;800;0.0009024199999999999;0.0009040925015923421;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;850;0.00102108;0.0010206356756257298;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;900;0.0011499599999999998;0.001144242072327808;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;950;0.0012766199999999998;0.0012749116916985761;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1000;0.0014055;0.0014126445337380345;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1050;0.00155182;0.001557440598446183;0
